"","Title","Link","Tags"
"1","The Buddhist Spell","tt0084551","ghost human relationship"
"2","The Buddhist Spell","tt0084551","wood carving"
"3","The Buddhist Spell","tt0084551","buddhist"
"4","The Buddhist Spell","tt0084551","tree"
"5","The Buddhist Spell","tt0084551","wood"
"6","The Buddhist Spell","tt0084551","guan yin"
"7","The Buddhist Spell","tt0084551","buddhism"
"8","The Buddhist Spell","tt0084551","violence"
"9","The Buddhist Spell","tt0084551","rape"
"10","The Buddhist Spell","tt0084551","blood"
"11","The Buddhist Spell","tt0084551","wood statue"
"12","The Buddhist Spell","tt0084551","possession"
"13","The Buddhist Spell","tt0084551","revenge"
"14","The Buddhist Spell","tt0084551","self sacrifice"
"15","The Buddhist Spell","tt0084551","buddha statue"
"16","The Buddhist Spell","tt0084551","asian horror"
"17","The Buddhist Spell","tt0084551","murder"
"18","The Buddhist Spell","tt0084551","male rear nudity"
"19","The Buddhist Spell","tt0084551","demon"
"20","The Buddhist Spell","tt0084551","demonic cult"
"21","The Buddhist Spell","tt0084551","monk"
"22","The Buddhist Spell","tt0084551","female ghost"
"23","The Buddhist Spell","tt0084551","love"
"24","The Buddhist Spell","tt0084551","statue"
"25","The Buddhist Spell","tt0084551","ghost"
"26","The Milky Life","tt0103206","wet nurse"
"27","The Milky Life","tt0103206","breast suckling"
"28","The Milky Life","tt0103206","falling in love"
"29","The Milky Life","tt0103206","bathing"
"30","The Milky Life","tt0103206","mansion"
"31","The Milky Life","tt0103206","diaper"
"32","The Milky Life","tt0103206","billionaire"
"33","The Milky Life","tt0103206","role playing"
"34","The Milky Life","tt0103206","infantilism"
"35","The Milky Life","tt0103206","dubbed"
"36","The Milky Life","tt0103206","baby teeth"
"37","The Milky Life","tt0103206","adult baby"
"38","The Milky Life","tt0103206","crib"
"39","The Milky Life","tt0103206","birthday"
"40","The Milky Life","tt0103206","topless man"
"41","The Milky Life","tt0103206","burglar"
"42","The Milky Life","tt0103206","bib"
"43","The Milky Life","tt0103206","female nudity"
"44","The Milky Life","tt0103206","crawling"
"45","The Milky Life","tt0103206","eccentric"
"46","The Milky Life","tt0103206","camp"
"47","The Milky Life","tt0103206","bizarre"
"48","The Milky Life","tt0103206","baby talk"
"49","The Milky Life","tt0103206","miracle"
"50","The Milky Life","tt0103206","adult turns into a baby"
"51","The Milky Life","tt0103206","rejuvenation"
"52","The Milky Life","tt0103206","self deprecating"
"53","The Milky Life","tt0103206","hit on the head"
"54","The Milky Life","tt0103206","burglary"
"55","The Milky Life","tt0103206","nanny"
"56","The Milky Life","tt0103206","playing"
"57","The Milky Life","tt0103206","greedy relatives"
"58","The Milky Life","tt0103206","self indulgence"
"59","The Milky Life","tt0103206","octogenarian"
"60","The Milky Life","tt0103206","retiree"
"61","The Eight Immortals Restaurant: The Untold Story","tt0103743","prison"
"62","The Eight Immortals Restaurant: The Untold Story","tt0103743","cannibalism"
"63","The Eight Immortals Restaurant: The Untold Story","tt0103743","rape"
"64","The Eight Immortals Restaurant: The Untold Story","tt0103743","restaurant"
"65","The Eight Immortals Restaurant: The Untold Story","tt0103743","police"
"66","The Eight Immortals Restaurant: The Untold Story","tt0103743","murder"
"67","The Eight Immortals Restaurant: The Untold Story","tt0103743","drinking urine"
"68","The Eight Immortals Restaurant: The Untold Story","tt0103743","vomiting"
"69","The Eight Immortals Restaurant: The Untold Story","tt0103743","female frontal nudity"
"70","The Eight Immortals Restaurant: The Untold Story","tt0103743","child murder"
"71","The Eight Immortals Restaurant: The Untold Story","tt0103743","murder investigation"
"72","The Eight Immortals Restaurant: The Untold Story","tt0103743","police brutality"
"73","The Eight Immortals Restaurant: The Untold Story","tt0103743","absurdism"
