"tconst","titleType","primaryTitle","originalTitle","isAdult","startYear","endYear","runtimeMinutes","genres"
"tt0031458","movie","El huésped del sevillano","El huésped del sevillano",0,1970,"\N",86,"Comedy"
"tt0059680","movie","Satan's Harvest","Satan's Harvest",0,1970,"\N",88,"Action"
"tt0060462","movie","The Girls from Thunder Strip","The Girls from Thunder Strip",0,1970,"\N",80,"Action,Drama"
"tt0060477","movie","Gregorio and His Angel","Gregorio y su ángel",0,1970,"\N",95,"Drama,Family,Fantasy"
"tt0060967","movie","Una señora estupenda","Una señora estupenda",0,1970,"\N",91,"Comedy"
"tt0061494","movie","Cauldron of Blood","El coleccionista de cadáveres",0,1970,"\N",97,"Drama,Horror,Mystery"
"tt0062690","movie","Awakening of the Beast","O Ritual dos Sádicos",0,1970,"\N",93,"Drama,Horror"
"tt0062701","movie","Balsamus l'uomo di Satana","Balsamus l'uomo di Satana",0,1970,"\N",99,"Drama,Fantasy,Horror"
"tt0062784","movie","El certificado","El certificado",0,1970,"\N",102,"Comedy"
"tt0062847","movie","Daddy, Darling","Daddy, Darling",0,1970,"\N",83,"Drama"
"tt0063066","movie","Hibotan bakuto: Oryû sanjô","Hibotan bakuto: Oryû sanjô",0,1970,"\N",100,"Action,Crime"
"tt0063074","movie","Hola... señor Dios","Hola... señor Dios",0,1970,"\N",79,"Drama"
"tt0063137","movie","The Invincible Six","The Invincible Six",0,1970,"\N",103,"Action,Adventure"
"tt0063309","movie","Misión cumplida","Misión cumplida",0,1970,"\N",85,"Comedy,Drama,Thriller"
"tt0063353","movie","Nihon jokyo-den: tekka geisha","Nihon jokyo-den: tekka geisha",0,1970,"\N",100,"Action,Crime"
"tt0063499","movie","Ramparts of Clay","Remparts d'argile",0,1970,"\N",80,"Drama"
"tt0063550","movie","Satanis: The Devil's Mass","Satanis: The Devil's Mass",0,1970,"\N",86,"Documentary"
"tt0063552","movie","Hollywood Horror House","Savage Intruder",0,1970,"\N",100,"Horror,Thriller"
"tt0063604","movie","Shiruku hatto no ô-oyabun","Shiruku hatto no ô-oyabun",0,1970,"\N",89,"Crime"
"tt0063608","movie","Sinthia: The Devil's Doll","Sinthia: The Devil's Doll",0,1970,"\N",78,"Horror"
"tt0063666","movie","Love, Emilia","Szeressétek Odor Emíliát!",0,1970,"\N",74,"Comedy"
"tt0063696","movie","Tiger by the Tail","Tiger by the Tail",0,1970,"\N",99,"Drama,Thriller"
"tt0063751","movie","The Howl","L'urlo",0,1970,"\N",93,"Comedy"
"tt0063860","movie","The Last Day of the War","El último día de la guerra",0,1970,"\N",100,"Drama,War"
"tt0063982","movie","El abominable hombre de la Costa del Sol","El abominable hombre de la Costa del Sol",0,1970,"\N",86,"Comedy"
"tt0064004","movie","All the Right Noises","All the Right Noises",0,1970,"\N",92,"Comedy,Drama"
"tt0064007","movie","El alma se serena","El alma se serena",0,1970,"\N",104,"Comedy"
"tt0064065","movie","La banda de los tres crisantemos","La banda de los tres crisantemos",0,1970,"\N",86,"Crime"
"tt0064076","movie","Before the Mountain Was Moved","Before the Mountain Was Moved",0,1970,"\N",60,"Documentary,Drama"
"tt0064078","movie","Les belles au bois dormantes","Les belles au bois dormantes",0,1970,"\N",90,"Drama"
"tt0064083","movie","Der Bettenstudent oder Was mach' ich mit den Mädchen?","Der Bettenstudent oder Was mach' ich mit den Mädchen?",0,1970,"\N",83,"Comedy"
"tt0064105","movie","The Ancines Woods","El bosque del lobo",0,1970,"\N",87,"Drama,Horror"
